True_Regime,Pattern,F_T,F_S,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
R1,Trend+MultiSeason,0.9936928772795859,0.9536248774918985,36,36,36.0,72.0,500,-0.27275389926690213,4.820379831540911e-05,18.585396430819394,7.514956782813416,0.8600665846128698,,,
R2,Pure_MultiSeason,0.716440954499641,0.9625197205829741,36,36,36.0,72.0,500,0.0,0.0,28.29829006087323,10.695556279661261,0.7150804392457593,,,
R3,Stationary_AR,0.032826426480808135,0.1496820562732527,None,56,,,500,0.0,0.0,0.0,0.0,5.0,0.4174711569849672,,
R4,PureTrend_Break,0.9999777498214297,0.9999109893676048,None,250,,,500,,,0.0,0.0,0.8742186463760341,,250.0,
R1,Trend+MultiSeason,0.9971292551352956,0.9458013358233914,12,12,12.0,24.0,500,-0.36510692251754784,3.985917447163451e-05,15.776098161101498,7.136942024527741,1.135023188812696,,,
R2,Pure_MultiSeason,0.7355390783321876,0.8806334976472528,12,12,12.0,24.0,500,0.0,0.0,11.382418061531501,7.981043983588002,1.07166571839783,,,
R3,Stationary_AR,0.1185998916662051,0.29769383127725224,None,26,,,500,0.0,0.0,0.0,0.0,5.0,0.42207925129962504,,
R4,PureTrend_Exponential,0.999743062315546,0.21290119889862447,None,24,,,500,,,0.0,0.0,0.5533048554380817,,,
R1,Trend+MultiSeason,0.990986721295817,0.8943992587154009,12,12,12.0,24.0,500,0.16862804920523766,1.1398271374194226e-05,9.978638501312785,6.436323478018406,1.0939230624606755,,,
R2,Pure_MultiSeason,0.7332547112469592,0.9546013260520916,12,12,12.0,24.0,500,0.0,0.0,27.7383281459669,11.435582714507472,1.5989054320259903,,,
R3,Stationary_AR,0.054492343016880995,0.2735060837074592,None,42,,,500,0.0,0.0,0.0,0.0,5.0,0.5183021188827133,,
R4,PureTrend_RandomWalk,0.9887526362576692,0.15090427698607434,None,24,,,500,,,0.0,0.0,1.206984619151171,,,-0.15190411496197487
R1,Trend+MultiSeason,0.9990254719586821,0.9917703249294116,24,24,24.0,48.0,500,-0.3078999112318296,-2.1251019930820473e-05,22.17246668009065,3.5387784980845973,0.5445592316978781,,,
R2,Pure_MultiSeason,0.6854187240402729,0.8338987488982228,24,24,24.0,48.0,500,0.0,0.0,13.607531579652134,10.813406093811047,1.8854341720871712,,,
R3,Stationary_WN,0.07300585382847569,0.20897968485479257,None,8,,,500,0.0,0.0,0.0,0.0,5.293573095473095,,,
R4,PureTrend_Break,0.9998281168315255,0.999313970124771,None,250,,,500,,,0.0,0.0,1.3999314228076982,,250.0,
R1,Trend+MultiSeason,0.999426507458239,0.9924718691933698,12,12,12.0,24.0,500,-0.33724821074198685,-1.4150496942069909e-05,19.37799982638648,2.740676289911449,0.8401335976257397,,,
R2,Pure_MultiSeason,0.7275816447809268,0.8989596768028495,12,12,12.0,24.0,500,0.0,0.0,14.696547964456466,9.223154666282918,1.5924029597129623,,,
R3,Stationary_WN,0.22213653928430732,0.21944990210183535,None,5,,,500,0.0,0.0,0.0,0.0,5.460479594678068,,,
R4,PureTrend_Exponential,0.9987536235871419,0.1654894428353737,None,24,,,500,,,0.0,0.0,1.254589900093173,,,
R1,Trend+MultiSeason,0.9863109656225983,0.9708285880419506,36,36,36.0,72.0,500,0.11650148777725831,-2.6644671429070414e-05,14.337549847344789,3.267320556280464,1.3486276988528316,,,
R2,Pure_MultiSeason,0.5881859005408154,0.981193380245,36,36,36.0,72.0,500,0.0,0.0,20.04390446006055,4.123631795997403,1.4834485085969469,,,
R3,Stationary_WN,0.2840234982336791,0.18860205218183412,None,3,,,500,0.0,0.0,0.0,0.0,12.516369154972367,,,
R4,PureTrend_Break,0.9999622650964115,0.9998488718732903,None,250,,,500,,,0.0,0.0,0.9702256367187827,,250.0,
R1,Trend+MultiSeason,0.9906417340611948,0.980096716497215,48,50,48.0,96.0,500,0.1655097909747355,-1.9821824534182432e-05,21.94264627725815,3.0180628668883145,1.3327891830433298,,,
R2,Pure_MultiSeason,0.6260551518098598,0.9310691779328312,48,50,48.0,96.0,500,0.0,0.0,18.58816480098824,8.269123574693536,1.672075376626736,,,
R3,Stationary_WN,0.23119944336601106,0.2082348127530057,None,3,,,500,0.0,0.0,0.0,0.0,11.557884045862473,,,
R4,PureTrend_Break,0.9999387953880775,0.9997537438203485,None,250,,,500,,,0.0,0.0,0.8395409295829362,,250.0,
R1,Trend+MultiSeason,0.9986865076026936,0.9317384178035162,48,50,48.0,96.0,500,0.3470646312078281,4.62343629536185e-05,10.173663974525848,3.9778618845342697,1.2759414170670555,,,
R2,Pure_MultiSeason,0.66419186646243,0.9461536140264644,48,50,48.0,96.0,500,0.0,0.0,20.28530974234352,8.343613226597938,0.7570151517394837,,,
R3,Stationary_AR,0.049017711308837364,0.25596239160730727,None,83,,,500,0.0,0.0,0.0,0.0,5.0,0.578650629118683,,
R4,PureTrend_Exponential,0.9995537374058796,0.19288904619118707,None,24,,,500,,,0.0,0.0,0.7995824887360525,,,
R1,Trend+MultiSeason,0.9949697750118358,0.8477425064255247,48,50,48.0,96.0,500,0.2782770487138585,1.3638527485075744e-05,9.92974765846429,7.031081424730207,1.169861435010853,,,
R2,Pure_MultiSeason,0.49188987667174655,0.9517243181033375,48,50,48.0,96.0,500,0.0,0.0,15.377553317895947,4.390918885443038,1.406828535465633,,,
R3,Stationary_WN,0.14170342162585237,0.12693139537661569,None,3,,,500,0.0,0.0,0.0,0.0,11.47539591606536,,,
R4,PureTrend_RandomWalk,0.9811651026751028,0.8732064613981562,None,250,,,500,,,0.0,0.0,1.425533974394411,,,-0.3303401556237563
R1,Trend+MultiSeason,0.9902401306852956,0.9794973543509596,48,50,48.0,96.0,500,0.17195131847802492,-1.222424777040411e-05,23.735194123630293,5.126707847741443,0.7307467547873573,,,
R2,Pure_MultiSeason,0.6025505390522824,0.9623872147243633,48,50,48.0,96.0,500,0.0,0.0,19.599759551547876,5.90642274659986,0.9624507836441589,,,
R3,Stationary_WN,0.12811665015907192,0.1768437805539057,None,4,,,500,0.0,0.0,0.0,0.0,14.800997268619529,,,
R4,PureTrend_Break,0.9999151666039979,0.9996614576755255,None,250,,,500,,,0.0,0.0,0.7324769603929465,,250.0,
R1,Trend+MultiSeason,0.9952363126214657,0.9832998093031962,24,24,24.0,48.0,500,0.15311050228433187,3.9951210305635256e-05,18.745957346525927,4.129514296885497,0.913154984769643,,,
R2,Pure_MultiSeason,0.6957292781068085,0.7986623791101646,24,24,24.0,48.0,500,0.0,0.0,12.144563515090782,11.405221900882097,1.460718205991955,,,
R3,Stationary_AR,0.23466319235674393,0.286304585681621,None,11,,,500,0.0,0.0,0.0,0.0,5.0,0.41532297118448286,,
R4,PureTrend_Exponential,0.999591715458486,0.2330377248216028,None,24,,,500,,,0.0,0.0,0.7138112978890667,,,
R1,Trend+MultiSeason,0.9990672748635802,0.9933319090472023,12,12,12.0,24.0,500,0.25976569547476813,3.373398838581165e-05,21.05420134543754,2.495138704973071,0.9773959688642513,,,
R2,Pure_MultiSeason,0.7520342427528885,0.979532063598807,12,12,12.0,24.0,500,0.0,0.0,22.47437878543124,6.4598199035709785,0.5373784737830476,,,
R3,Stationary_WN,0.039690837207926766,0.26498160492434475,None,11,,,500,0.0,0.0,0.0,0.0,9.748284605825503,,,
R4,PureTrend_Exponential,0.9958793605235144,0.2460837147301892,None,24,,,500,,,0.0,0.0,1.18931728949629,,,
R1,Trend+MultiSeason,0.9968611390590826,0.9485443222906089,48,50,48.0,96.0,500,-0.3204613804749258,-2.623875501260083e-05,16.287939593966623,6.170179372728411,0.9734545249320846,,,
R2,Pure_MultiSeason,0.6124577039088434,0.9736404427305583,48,50,48.0,96.0,500,0.0,0.0,23.908323500522627,6.052349093890372,0.8302136350163403,,,
R3,Stationary_WN,0.09509737976716393,0.16247511138164838,None,7,,,500,0.0,0.0,0.0,0.0,11.669335954676386,,,
R4,PureTrend_RandomWalk,0.9289658974875405,0.1550814466928191,None,24,,,500,,,0.0,0.0,0.7694103656076466,,,-0.1324713156716996
R1,Trend+MultiSeason,0.9990560906499829,0.9572401759782062,24,24,24.0,48.0,500,-0.3786544500599114,-3.3435373825855946e-05,11.581056812707654,3.549235102225615,1.289485116402874,,,
R2,Pure_MultiSeason,0.6836277802535208,0.9774775274034851,24,24,24.0,48.0,500,0.0,0.0,24.794752267544048,6.732607135931995,0.9998872870854388,,,
R3,Stationary_AR,0.1654125701871284,0.16912143043913974,None,10,,,500,0.0,0.0,0.0,0.0,5.0,0.49362307851904663,,
R4,PureTrend_Exponential,0.9995179878993042,0.24623630065485413,None,24,,,500,,,0.0,0.0,0.7706436330167978,,,
R1,Trend+MultiSeason,0.9967127690161541,0.9048545742241639,36,36,36.0,72.0,500,0.30037948540581877,2.259998217684597e-05,11.283446512234061,6.893124320552722,0.6611827482706665,,,
R2,Pure_MultiSeason,0.6720340376241816,0.9683515489535229,36,36,36.0,72.0,500,0.0,0.0,18.977852110655995,6.053549620916012,1.3986811671970427,,,
R3,Stationary_WN,0.04424901541793458,0.2932034665182124,None,18,,,500,0.0,0.0,0.0,0.0,11.425038199841246,,,
R4,PureTrend_RandomWalk,0.9757222912957298,0.11238142728037415,None,24,,,500,,,0.0,0.0,1.3650981387656393,,,0.20390323637528474
R1,Trend+MultiSeason,0.995029177706572,0.9897394784481941,36,36,36.0,72.0,500,-0.1450156125580178,-2.163132807652133e-05,22.215800870483623,2.3612122067215005,1.4939133979949617,,,
R2,Pure_MultiSeason,0.7056016108764012,0.8665775718700007,36,36,36.0,72.0,500,0.0,0.0,16.385078298799368,11.932354745270395,1.484762114674155,,,
R3,Stationary_AR,0.04911762220138405,0.8180142174739043,None,250,,,500,0.0,0.0,0.0,0.0,5.0,0.5370464358554141,,
R4,PureTrend_RandomWalk,0.9621732376487113,0.07931499683613052,None,24,,,500,,,0.0,0.0,1.164629697110989,,,0.13102375157412444
R1,Trend+MultiSeason,0.997038725741564,0.9741233008019288,36,36,36.0,72.0,500,0.17021549132760294,3.0500308074311127e-05,12.646064665592323,3.5566239173584924,0.6529292327048377,,,
R2,Pure_MultiSeason,0.6842468331388099,0.9331974969616125,36,36,36.0,72.0,500,0.0,0.0,16.40690483619555,7.692267188245798,1.3439256480705126,,,
R3,Stationary_AR,0.2705132972771779,0.286336939943008,None,11,,,500,0.0,0.0,0.0,0.0,5.0,0.5445363708749436,,
R4,PureTrend_RandomWalk,0.9852373953450566,0.5246915535093764,None,167,,,500,,,0.0,0.0,1.3478174041191924,,,0.2810680682430982
R1,Trend+MultiSeason,0.9982561872629899,0.9837664275223664,36,36,36.0,72.0,500,-0.30094704301829817,2.6492689737416226e-05,19.038590703764804,2.3596194291240113,1.4515392579390007,,,
R2,Pure_MultiSeason,0.5975984933374894,0.9310434734419222,36,36,36.0,72.0,500,0.0,0.0,16.82115330512913,6.790766637239714,1.9435767832292667,,,
R3,Stationary_WN,0.19550371167012637,0.13585109365730363,None,2,,,500,0.0,0.0,0.0,0.0,6.698357430137136,,,
R4,PureTrend_Break,0.9996319642277971,0.9985250246589523,None,250,,,500,,,0.0,0.0,1.46034452528828,,250.0,
R1,Trend+MultiSeason,0.9965100019361682,0.9924154927330535,36,36,36.0,72.0,500,-0.13781070125019332,-4.922970689179426e-05,22.447431359490743,2.050691682162162,1.1791276594627493,,,
R2,Pure_MultiSeason,0.6578148633241488,0.964486750369017,36,36,36.0,72.0,500,0.0,0.0,26.223925091421055,8.410597977703176,1.8668136834984073,,,
R3,Stationary_AR,0.1651602312695386,0.23756376229226905,None,16,,,500,0.0,0.0,0.0,0.0,5.0,0.4572161006296781,,
R4,PureTrend_Break,0.9999394948540766,0.9997589581749132,None,250,,,500,,,0.0,0.0,1.2540338341423767,,250.0,
R1,Trend+MultiSeason,0.9949959830032334,0.8639940941136738,36,36,36.0,72.0,500,0.253389278085273,2.7083793079194173e-05,9.651391852053026,7.126233303778722,1.0416990827055324,,,
R2,Pure_MultiSeason,0.6013054787587391,0.9267454125146258,36,36,36.0,72.0,500,0.0,0.0,14.993574451327301,6.306296051034324,1.9537078679091244,,,
R3,Stationary_AR,0.042467724095108905,0.22953501986341585,None,125,,,500,0.0,0.0,0.0,0.0,5.0,0.6364945234585917,,
R4,PureTrend_Break,0.9999562187969061,0.9998260270314645,None,250,,,500,,,0.0,0.0,0.7708471241630808,,250.0,
R1,Trend+MultiSeason,0.9983357131151245,0.9893033774882066,12,12,12.0,24.0,500,-0.21973487919233753,1.4708144687744157e-05,17.07038491896325,2.0178941778247816,1.1793200217450175,,,
R2,Pure_MultiSeason,0.7282330077060111,0.9836771765927643,12,12,12.0,24.0,500,0.0,0.0,28.574458317889516,6.869178132669335,1.014966215220094,,,
R3,Stationary_AR,0.025081245283574916,0.4001540902063411,None,100,,,500,0.0,0.0,0.0,0.0,5.0,0.5431274495798284,,
R4,PureTrend_Exponential,0.9995545333864368,0.28948112194347086,None,24,,,500,,,0.0,0.0,0.8975657873357534,,,
R1,Trend+MultiSeason,0.9987800562394619,0.9650692588359451,12,12,12.0,24.0,500,0.36459367299971635,-3.959983390311953e-05,12.899116870686964,4.558098429648482,0.7508186844600953,,,
R2,Pure_MultiSeason,0.70292284727973,0.9033280692460421,12,12,12.0,24.0,500,0.0,0.0,10.582355150831912,6.135214792160471,1.3028227596391218,,,
R3,Stationary_AR,0.0891438220872035,0.2564549563861619,None,50,,,500,0.0,0.0,0.0,0.0,5.0,0.6071917896817642,,
R4,PureTrend_RandomWalk,0.9899068039196623,0.3770933167677867,None,125,,,500,,,0.0,0.0,1.2156401069354543,,,0.3468779257669453
R1,Trend+MultiSeason,0.999408473337949,0.9959699406762688,24,24,24.0,48.0,500,-0.2896839244131421,3.530030944298144e-05,21.179964634677148,2.1379555626193203,0.5645613063159179,,,
R2,Pure_MultiSeason,0.710338855280455,0.967263843732104,24,24,24.0,48.0,500,0.0,0.0,29.574068954199085,10.1400872835046,0.6562436016903372,,,
R3,Stationary_AR,0.11527275135266069,0.10950498420258348,None,15,,,500,0.0,0.0,0.0,0.0,5.0,0.40132412800208,,
R4,PureTrend_Break,0.9998933147325666,0.9995718033496507,None,250,,,500,,,0.0,0.0,1.4981183257675514,,250.0,
R1,Trend+MultiSeason,0.995403698437257,0.9676687515024867,24,24,24.0,48.0,500,-0.22411257370617896,-1.6724783284835957e-05,17.513562131754,5.885042867532917,0.5463109244129453,,,
R2,Pure_MultiSeason,0.6990124329418301,0.920666390935002,24,24,24.0,48.0,500,0.0,0.0,22.056160765066462,11.89081440443909,1.133770638337037,,,
R3,Stationary_AR,0.07133387115408396,0.20979738636838607,None,29,,,500,0.0,0.0,0.0,0.0,5.0,0.5320553854541646,,
R4,PureTrend_RandomWalk,0.9944214426660467,0.22994679816702113,None,24,,,500,,,0.0,0.0,0.5068249102802861,,,-0.17238034599767044
R1,Trend+MultiSeason,0.9961225602006959,0.9623129675696555,48,50,48.0,96.0,500,0.2870696733371588,3.3710165747689405e-05,19.771950561856684,6.6191635019954775,0.5605765525977983,,,
R2,Pure_MultiSeason,0.49373635253552794,0.9817222334140434,48,50,48.0,96.0,500,0.0,0.0,23.99175342104618,4.262022821688625,0.831503091249742,,,
R3,Stationary_WN,0.15944402920608713,0.1294111123971453,None,3,,,500,0.0,0.0,0.0,0.0,12.882944708334408,,,
R4,PureTrend_RandomWalk,0.9929887549356511,0.7523983983638757,None,167,,,500,,,0.0,0.0,0.5516602000483886,,,0.2142080730243647
R1,Trend+MultiSeason,0.9936626672230869,0.975920557648273,36,36,36.0,72.0,500,0.11898920788208459,2.5516342475123806e-05,13.653448190160512,2.724434273377151,1.1997244862336394,,,
R2,Pure_MultiSeason,0.7087133524592935,0.9450434401298701,36,36,36.0,72.0,500,0.0,0.0,26.41021011159236,11.82574715732907,1.2201444958381025,,,
R3,Stationary_AR,0.07344182045367187,0.24681182424721082,None,56,,,500,0.0,0.0,0.0,0.0,5.0,0.5890345803857778,,
R4,PureTrend_Break,0.9999764738312196,0.9999057100067789,None,250,,,500,,,0.0,0.0,0.636756450559637,,250.0,
R1,Trend+MultiSeason,0.9960145726790485,0.9718145014473091,12,12,12.0,24.0,500,0.34104727500953846,-4.16964464669178e-05,24.332733981204257,7.951667427016575,1.0336263906133412,,,
R2,Pure_MultiSeason,0.753768397162697,0.9320323454189069,12,12,12.0,24.0,500,0.0,0.0,17.804238668383416,9.676695714281422,0.5302395935865174,,,
R3,Stationary_AR,0.13286014212115382,0.3343395638134057,None,25,,,500,0.0,0.0,0.0,0.0,5.0,0.5280809116655841,,
R4,PureTrend_Break,0.9996190732578308,0.9984737158033328,None,250,,,500,,,0.0,0.0,1.2847468744121509,,250.0,
R1,Trend+MultiSeason,0.9956559022208858,0.9254066313604005,12,12,12.0,24.0,500,0.20940172925923498,-1.941406262681142e-05,9.433191466089498,4.997452559965705,0.9301795579249881,,,
R2,Pure_MultiSeason,0.7282320710315786,0.8479275219343284,12,12,12.0,24.0,500,0.0,0.0,11.317694390999868,8.979871180492617,1.5185824711271168,,,
R3,Stationary_WN,0.05715405616040259,0.12712887106695014,None,5,,,500,0.0,0.0,0.0,0.0,7.677061396845783,,,
R4,PureTrend_RandomWalk,0.9901396015938253,0.11009310883472512,None,24,,,500,,,0.0,0.0,1.1291803525497723,,,-0.11734895707145868
R1,Trend+MultiSeason,0.9981492906329773,0.9867374118562523,24,24,24.0,48.0,500,0.227728690631432,4.031109101260382e-05,18.750089699114653,3.237931050110342,0.9676332341762488,,,
R2,Pure_MultiSeason,0.5094788167522294,0.9778907468749569,24,24,24.0,48.0,500,0.0,0.0,21.73580579613038,4.167584101102917,1.742897856194415,,,
R3,Stationary_WN,0.10525216794800474,0.0818261427714212,None,3,,,500,0.0,0.0,0.0,0.0,14.357288539797361,,,
R4,PureTrend_RandomWalk,0.36282654795965275,0.6420532103192318,None,167,,,500,,,0.0,0.0,1.108847436717991,,,0.12830407954239212
R1,Trend+MultiSeason,0.9971778852012653,0.9705910054865685,12,12,12.0,24.0,500,0.3500475531970414,-3.0461579226133486e-05,20.862709050818665,7.21091732351039,0.5972162061859495,,,
R2,Pure_MultiSeason,0.6117084874548415,0.9670872338811367,12,12,12.0,24.0,500,0.0,0.0,21.791732888210444,5.9231968941227295,1.9608377776724688,,,
R3,Stationary_AR,0.09023712655633087,0.26512290809836714,None,50,,,500,0.0,0.0,0.0,0.0,5.0,0.5944805564090943,,
R4,PureTrend_RandomWalk,0.9383473147596527,0.15116904112129514,None,24,,,500,,,0.0,0.0,1.0560119670784638,,,-0.2233130109181333
R1,Trend+MultiSeason,0.9948869403113881,0.9621547837387455,48,50,48.0,96.0,500,-0.29221194635856407,-2.259650647331384e-05,22.09907792325744,6.784421655491181,1.2935917108026471,,,
R2,Pure_MultiSeason,0.4307045824177387,0.9751718611621488,48,50,48.0,96.0,500,0.0,0.0,26.216704064351177,4.742758626668486,1.6012727547377505,,,
R3,Stationary_AR,0.030644783311504997,0.18329550411198936,None,100,,,500,0.0,0.0,0.0,0.0,5.0,0.47805955615421847,,
R4,PureTrend_RandomWalk,0.995230964296006,0.18614433824366738,None,24,,,500,,,0.0,0.0,1.4345980602737003,,,-0.14739254568142074
R1,Trend+MultiSeason,0.9976176703030957,0.9721146059898339,12,12,12.0,24.0,500,-0.3691072732173898,-3.543058601894186e-05,22.890922666025837,7.643817753151196,0.8301759984290621,,,
R2,Pure_MultiSeason,0.7330799816659259,0.9551017466781339,12,12,12.0,24.0,500,0.0,0.0,22.712701255093933,9.329660018258728,1.4575262246040328,,,
R3,Stationary_AR,0.1736239489737077,0.3274518575477243,None,18,,,500,0.0,0.0,0.0,0.0,5.0,0.554115759541991,,
