True_Regime,Pattern,F_T,F_S,F_I,True_P,Est_P
R3,Stationary_AR,0.5564767340476637,0.5848663656363946,0.7243285652472541,None,29
R4,Trend_ExponentialGrowth,0.9999571789706845,0.9998888153407762,0.0,None,249
R1,Trend_Seasonality,0.9998457445276249,0.996638392505473,0.7009211421867108,36,36
R2,Seasonality,0.6625515775066367,0.9904454036998888,0.7885333910078681,36,36
R3,Stationary_AR,0.3167041533841415,0.5353024643657762,0.6353979926679656,None,23
R4,Trend_MeanShift,0.9995384374250741,0.9981932702611387,0.0,None,250
R1,Trend_Seasonality,0.9987020355864245,0.9979677453154566,0.9501667229589912,36,36
R2,Seasonality,0.7087482893404327,0.9951188492853876,0.8079929580435278,36,36
R3,Stationary_AR,0.30393519265636904,0.3709088737822488,0.45641950082354854,None,12
R4,Trend_RandomWalkDrift,0.9999920632021242,0.999916069301078,0.0,None,249
R1,Trend_Seasonality,0.9997688455545728,0.9956480470461623,0.8959723040978999,12,12
R2,Seasonality,0.9436432816779277,0.9986664692412192,0.94036588641713,12,12
R3,Stationary_AR,0.15690872125875932,0.4917064549158594,0.4675206735315327,None,26
R4,Trend_RandomWalkDrift,0.9999926277961053,0.9999507585219232,0.0,None,249
R1,Trend_Seasonality,0.9996361422262312,0.9886937566554559,0.8417824994060099,48,50
R2,Seasonality,0.9065985740985258,0.9970424631557864,0.9336797698938913,48,50
R3,Stationary_AR,0.2855196138181243,0.5781251644461668,0.6904954965208117,None,31
R4,Trend_RandomWalkDrift,0.9999985559739747,0.9999668507718025,0.0,None,249
R1,Trend_Seasonality,0.9999200513847192,0.9993882726144143,0.9537668112735241,24,24
R2,Seasonality,0.9124266439721544,0.9854934952541732,0.9364084153615163,24,24
R3,Stationary_AR,0.008982482343981135,0.6316845783890057,0.6259383086098715,None,125
R4,Trend_ExponentialGrowth,0.9999683653357592,0.9998929844653781,0.0,None,249
R1,Trend_Seasonality,0.9998306425453849,0.9913355420988652,0.9432223418381622,12,12
R2,Seasonality,0.9809930518316037,0.9964043815494722,0.9794831690175889,12,12
R3,Stationary_WN,0.1118827853547174,0.3273972740685892,0.28410241032089756,None,14
R4,Trend_RandomWalkDrift,0.9999823645681374,0.999967310848592,0.0,None,249
R1,Trend_Seasonality,0.999530824514872,0.9921531793082805,0.7345101783012962,12,12
R2,Seasonality,0.9529178034311742,0.9970883458492349,0.9487918783461833,12,12
R3,Stationary_WN,0.4610957598066934,0.2955984194160043,0.32702700427687903,None,3
R4,Trend_ExponentialGrowth,0.9999709537771959,0.9998950697641886,0.0,None,249
R1,Trend_Seasonality,0.9993044917238257,0.9937965640725692,0.8847110818752875,48,50
R2,Seasonality,0.9879044812081241,0.9990584065217621,0.9902060109012696,48,50
R3,Stationary_WN,0.5555071926414266,0.19109396965825487,0.2538578662614568,None,2
R4,Trend_ExponentialGrowth,0.9999651693394954,0.9998796917921008,0.0,None,249
R1,Trend_Seasonality,0.9977109702316033,0.996334216064028,0.741312608861906,36,36
R2,Seasonality,0.8816076663295642,0.996281806435859,0.9074771275773281,36,36
R3,Stationary_AR,0.3251376823396982,0.474106879139522,0.46026256607316174,None,12
R4,Trend_RandomWalkDrift,0.731284496535141,0.03876461956255517,0.0,None,250
R1,Trend_Seasonality,0.9994602051966403,0.9938387944202437,0.5580810409259664,24,24
R2,Seasonality,0.9787078847234947,0.998853921137945,0.9833978034264145,24,24
R3,Stationary_WN,0.33927482194162595,0.22023405441388721,0.30175731571425224,None,4
R4,Trend_MeanShift,0.999500954389015,0.9980461564281733,0.0,None,250
R1,Trend_Seasonality,0.9994564608525692,0.9980867903783497,0.9450172025512489,48,50
R2,Seasonality,0.9297522069260529,0.9957733245307697,0.9483056266416409,48,50
R3,Stationary_WN,0.04674209674761265,0.3803217543126671,0.35158958614507574,None,45
R4,Trend_ExponentialGrowth,0.9999591073830685,0.9998975172343382,0.0,None,249
R1,Trend_Seasonality,0.9997862701868098,0.9881756083969553,0.8797437425893966,48,50
R2,Seasonality,0.6679178755950869,0.9760546265390712,0.7852569993348435,48,50
R3,Stationary_AR,0.26164525302158315,0.5522019646667733,0.6134759899709921,None,14
R4,Trend_RandomWalkDrift,0.9999927562088943,0.9999414133894814,0.0,None,249
R1,Trend_Seasonality,0.999904266055766,0.9988565110335271,0.9651528099041166,48,50
R2,Seasonality,0.0,0.9913545233076749,0.6834369828388358,48,100
R3,Stationary_AR,0.4698868338224985,0.5564359789501615,0.685903628771525,None,20
R4,Trend_RandomWalkDrift,0.999998976027851,0.9999648365582656,0.0,None,249
R1,Trend_Seasonality,0.9989661721258437,0.9924940294759754,0.9282831060271144,48,50
R2,Seasonality,0.9439077522106868,0.9960674346333653,0.9580148921520564,48,50
R3,Stationary_WN,0.31773290074335026,0.33050008447601276,0.2819976370139834,None,4
R4,Trend_ExponentialGrowth,0.9999795806711104,0.9998890459481304,0.0,None,249
R1,Trend_Seasonality,0.999567945552097,0.9988335897331336,0.9629158985015791,24,24
R2,Seasonality,0.9735662545328226,0.9979330851792753,0.9795165804046807,24,24
R3,Stationary_AR,0.013381580512804248,0.8649082262892288,0.0,None,250
R4,Trend_MeanShift,0.9979811155291153,0.9907141770555129,0.0,None,250
R1,Trend_Seasonality,0.9996932004204425,0.9974793630077198,0.7993471916467854,48,50
R2,Seasonality,0.03851799855391225,0.9891104918629758,0.6527827373384676,48,100
R3,Stationary_WN,0.43475302550050254,0.25716999907639837,0.34431955703518524,None,3
R4,Trend_RandomWalkDrift,0.6957089060794678,0.17221956651659975,0.0,None,167
R1,Trend_Seasonality,0.9997380696626633,0.992353566665837,0.9011310135155051,36,36
R2,Seasonality,0.8548321513076622,0.990210623004223,0.8923194173497613,36,36
R3,Stationary_WN,0.33753519829933865,0.3366340691095623,0.2664360138119928,None,4
R4,Trend_RandomWalkDrift,0.9991273069118228,0.957273799335689,0.09699571475232904,None,250
R1,Trend_Seasonality,0.999865979369086,0.9947856265305879,0.8916607240041726,36,36
R2,Seasonality,0.973522854797744,0.9991131729000108,0.9780821433644805,36,36
R3,Stationary_WN,0.5053738164486101,0.15237316500432618,0.3197899356769278,None,2
R4,Trend_RandomWalkDrift,0.9999832215297922,0.999923038479506,0.0,None,249
R1,Trend_Seasonality,0.9975135478571536,0.9961187199780768,0.8743319493964794,12,12
R2,Seasonality,0.9773894421443008,0.9961434108202256,0.9755513067233246,12,12
R3,Stationary_AR,0.258385766609744,0.5094707307147908,0.5754633815311858,None,19
R4,Trend_ExponentialGrowth,0.9999721473579724,0.9998922672226995,0.0,None,249
R1,Trend_Seasonality,0.9995577365623203,0.9861479002501867,0.9140774064501755,36,36
R2,Seasonality,0.8541399919991476,0.992028257429382,0.8679931855932013,36,36
R3,Stationary_AR,0.13898920641178591,0.5314869169867301,0.6090267919689842,None,33
R4,Trend_RandomWalkDrift,0.9999991131197769,0.9999848218108334,0.0,None,249
R1,Trend_Seasonality,0.9994403766867195,0.9980262825882645,0.6671339320284966,24,24
R2,Seasonality,0.9697144265504837,0.999081304288942,0.9764008619746827,24,24
R3,Stationary_WN,0.46113294397470417,0.17243792835984895,0.2403921290624781,None,2
R4,Trend_MeanShift,0.9835588948520024,0.9582677026311414,0.0,None,250
R1,Trend_Seasonality,0.9998139836610681,0.9952430470810474,0.9452440245223863,24,24
R2,Seasonality,0.9094359010297722,0.9926051380424576,0.9325006836662155,24,24
R3,Stationary_AR,0.09573492069231981,0.3813600920764474,0.5204191628394537,None,17
R4,Trend_MeanShift,0.99983691673512,0.9993324489192681,0.0,None,250
R1,Trend_Seasonality,0.9981654840939174,0.9976783578644826,0.907762127431439,12,12
R2,Seasonality,0.6913913734767608,0.9933110446094002,0.7224795778235154,12,12
R3,Stationary_AR,0.15478773711173555,0.6529625916431662,0.6395288404279083,None,71
R4,Trend_ExponentialGrowth,0.9999662222263759,0.9998905245894268,0.0,None,249
R1,Trend_Seasonality,0.9998848010235322,0.9931792167217268,0.9045480336339383,48,50
R2,Seasonality,0.8387340594615234,0.9936820897998415,0.8908013188866938,48,50
R3,Stationary_WN,0.30743723106662424,0.26204997128357144,0.2813405916025775,None,4
R4,Trend_ExponentialGrowth,0.9999549296474562,0.999880133866372,0.0,None,249
R1,Trend_Seasonality,0.9994682102664169,0.9842308417756378,0.6843480057211817,36,36
R2,Seasonality,0.9071568900553084,0.988175952127106,0.9270081332572611,36,36
R3,Stationary_AR,0.18972765234016398,0.4866690435801502,0.5752687528421321,None,31
R4,Trend_RandomWalkDrift,0.9999929239088218,0.9999373937874168,0.0,None,249
R1,Trend_Seasonality,0.9997771099353926,0.9984345247044156,0.9708880646272817,12,12
R2,Seasonality,0.8803449816850025,0.990678967653122,0.8780871032120776,12,12
R3,Stationary_AR,0.3296890106754561,0.5813492632326547,0.713010383844523,None,26
R4,Trend_ExponentialGrowth,0.999964187726924,0.999898024362097,0.0,None,249
R1,Trend_Seasonality,0.9999437523512972,0.9982671967312934,0.970913906322642,36,36
R2,Seasonality,0.9091444872800061,0.9909501791260024,0.9264079779442225,36,36
R3,Stationary_AR,0.053274211861753296,0.7714256120060458,0.6929010791977507,None,125
R4,Trend_MeanShift,0.9999442074213275,0.9997799539620492,0.0,None,250
R1,Trend_Seasonality,0.9997996119572556,0.9972669195911242,0.9138011120783297,24,24
R2,Seasonality,0.9183006096767465,0.9987961080643469,0.9389164371091949,24,24
R3,Stationary_WN,0.3616050788692443,0.2957980144761355,0.3583912585663982,None,4
R4,Trend_ExponentialGrowth,0.9999605519283037,0.9998964032240176,0.0,None,249
R1,Trend_Seasonality,0.9990739942560984,0.998295916251527,0.9565836545354405,36,36
R2,Seasonality,0.8897222912896354,0.994627547497535,0.9151238208032565,36,36
R3,Stationary_WN,0.4873783650974004,0.14575197877706592,0.26119132966176495,None,2
R4,Trend_RandomWalkDrift,0.839744356331538,0.5262097584591138,0.0,None,250
R1,Trend_Seasonality,0.9995554349937993,0.9975519134749471,0.9033186734700652,12,12
R2,Seasonality,0.9502472293804541,0.9981201303581805,0.9463118155865186,12,12
R3,Stationary_AR,0.3002059446880565,0.3415120357883884,0.43972560316062037,None,13
R4,Trend_ExponentialGrowth,0.9999591857201843,0.9998885941489404,0.0,None,249
R1,Trend_Seasonality,0.9998155189886218,0.9965677795459078,0.8596687258515147,12,12
R2,Seasonality,0.9881859454059762,0.9994406756418552,0.9870067961815309,12,12
R3,Stationary_AR,0.33110552775842017,0.3115687988218334,0.41218466022091726,None,10
R4,Trend_ExponentialGrowth,0.9999654776532909,0.9998854776140422,0.0,None,249
R1,Trend_Seasonality,0.9999109716090597,0.9985707397236955,0.9576911101727359,36,36
R2,Seasonality,0.7848635798635614,0.9679081429475814,0.8407100510786628,36,36
R3,Stationary_AR,0.2060840503539576,0.4917861877164702,0.5893617447087969,None,38
R4,Trend_MeanShift,0.9999645857073174,0.999858505571067,0.12419372500391057,None,250
R1,Trend_Seasonality,0.9981467641376226,0.9894949908429803,0.656948521955667,48,50
R2,Seasonality,0.9763239222151744,0.9985437713224795,0.9821938911404439,48,50
R3,Stationary_WN,0.38660061360708653,0.24603603328857981,0.29681465583702016,None,4
R4,Trend_ExponentialGrowth,0.9999837874236541,0.9999232969045327,0.0,None,249
R1,Trend_Seasonality,0.999435178782689,0.9984635378892746,0.9421947373139775,24,24
R2,Seasonality,0.8974356245551467,0.992788687687528,0.922175324027939,24,24
R3,Stationary_WN,0.3395390281099838,0.23930224908851983,0.33436644688585493,None,4
R4,Trend_ExponentialGrowth,0.9999553500373235,0.9998867169913254,0.0,None,249
R1,Trend_Seasonality,0.9998753382506068,0.9985636264474999,0.8517151082797456,36,36
R2,Seasonality,0.9418668926073996,0.9916633383430592,0.9527992416042811,36,36
R3,Stationary_WN,0.2820324219391086,0.24748438980004606,0.2640083659339779,None,5
R4,Trend_RandomWalkDrift,0.9999988615572794,0.9999276348462559,0.0,None,249
R1,Trend_Seasonality,0.9999347522612916,0.9958238487150168,0.9545794989347846,36,36
R2,Seasonality,0.6458697645779787,0.9816370179367133,0.763085840281627,36,36
R3,Stationary_WN,0.09761548181467505,0.38346168940392344,0.2675798310825229,None,16
R4,Trend_ExponentialGrowth,0.9999556509764636,0.9998850528269988,0.0,None,249
R1,Trend_Seasonality,0.999912563814082,0.9989539197813013,0.9652179083393994,36,36
R2,Seasonality,0.7907533992443722,0.9938317808468419,0.8509475299740599,36,36
R3,Stationary_AR,0.06853077108094408,0.7179787700874221,0.6845709019758226,None,125
R4,Trend_MeanShift,0.9998807506648899,0.999530576770696,0.0,None,250
R1,Trend_Seasonality,0.9996936414142801,0.9917757974850757,0.9340817376407471,36,36
R2,Seasonality,0.9175002381194801,0.9954825545463347,0.9322107856712716,36,36
R3,Stationary_WN,0.49965599660220106,0.24817972912207997,0.2956212563826788,None,2
R4,Trend_ExponentialGrowth,0.9999583551498025,0.9998924273067733,0.0,None,249
R1,Trend_Seasonality,0.9991259844209621,0.9928235943273267,0.8499026491243388,48,50
R2,Seasonality,0.9604562567504837,0.998079912939872,0.9709454746775836,48,50
R3,Stationary_WN,0.1535003341334945,0.38859965386028794,0.2884313987528705,None,12
R4,Trend_MeanShift,0.9999016974603787,0.9996091195496445,0.24583525549200336,None,250
R1,Trend_Seasonality,0.9991149524262415,0.9917935106165673,0.540749385159817,24,24
R2,Seasonality,0.9042501382876936,0.9789889536297633,0.9293790158375352,24,24
R3,Stationary_AR,0.5786773170500581,0.568267618964357,0.6672450807833306,None,17
R4,Trend_RandomWalkDrift,0.9999646085607143,0.9999385154142715,0.0,None,249
R1,Trend_Seasonality,0.9995731995796457,0.9985225884414837,0.741802518996832,36,36
R2,Seasonality,0.9602846357698014,0.9995899505982844,0.967601071643086,36,36
R3,Stationary_WN,0.4426483336251278,0.10861824851016477,0.16151967579217985,None,2
R4,Trend_ExponentialGrowth,0.9999567764899436,0.9998961116683861,0.0,None,249
R1,Trend_Seasonality,0.9993806646211202,0.9968648415411135,0.8478306115747329,12,12
R2,Seasonality,0.5809338092999694,0.9927864032772195,0.7003397040306345,12,12
R3,Stationary_WN,0.40995365564123665,0.208512989495788,0.29432599940582804,None,4
R4,Trend_RandomWalkDrift,0.9999652605475612,0.9998792870120715,0.0,None,249
R1,Trend_Seasonality,0.9999318729273766,0.9980118906062831,0.8777786284651655,12,12
R2,Seasonality,0.9832384594409064,0.9985180699160826,0.982094385679655,12,12
R3,Stationary_AR,0.37982787590860245,0.2930510965383505,0.39220089537925695,None,8
R4,Trend_RandomWalkDrift,0.9999999909652934,0.999999213108188,0.0,None,249
R1,Trend_Seasonality,0.9998449613717773,0.998170300094237,0.9608604625145619,36,36
R2,Seasonality,0.8717676458209614,0.9952322059552392,0.9030091735485851,36,36
R3,Stationary_WN,0.36688311717694866,0.26260497022040596,0.35863781929442884,None,4
R4,Trend_ExponentialGrowth,0.9999729312787081,0.9998990907287566,0.0,None,249
R1,Trend_Seasonality,0.9996845401694961,0.9971197244440358,0.8126026678962205,48,50
R2,Seasonality,0.8400122683790509,0.9904093633376362,0.8806391798255246,48,50
R3,Stationary_AR,0.4760172789793625,0.3891474868087613,0.5415484404054827,None,7
R4,Trend_RandomWalkDrift,0.9999941362229526,0.9999321437468993,0.0,None,249
R1,Trend_Seasonality,0.9985551159233658,0.9972406985517421,0.7983152801491571,12,12
R2,Seasonality,0.891603916933732,0.996157084896731,0.8904542216169882,12,12
R3,Stationary_AR,0.30877523741477386,0.32123267394839217,0.5575130570524187,None,15
R4,Trend_RandomWalkDrift,0.9999566349381344,0.9999252020490372,0.0,None,249
R1,Trend_Seasonality,0.9998239863318069,0.9957417322491182,0.8186403914593003,36,36
R2,Seasonality,0.9122210082776693,0.9919445825168391,0.9326753113447528,36,36
R3,Stationary_WN,0.21323700497705755,0.32668964086099006,0.3045907283516647,None,6
R4,Trend_RandomWalkDrift,0.9780170340945187,0.5106555079106556,0.0,None,250
R1,Trend_Seasonality,0.9969033821286426,0.9971581600859654,0.888690914794845,24,24
R2,Seasonality,0.9759252030619558,0.9990883728874671,0.9815546951715983,24,24
R3,Stationary_WN,0.06366889531456144,0.4029398240895421,0.33149431032862364,None,17
R4,Trend_MeanShift,0.9999644756793377,0.9998584310386861,0.0603406376884279,None,250
R1,Trend_Seasonality,0.9984549357141812,0.9950860752802645,0.9046695486709155,12,12
R2,Seasonality,0.9469209468565514,0.9985453580386524,0.9427893979952701,12,12
R3,Stationary_AR,0.0,0.6304648663354406,0.5429828878329345,None,125
R4,Trend_ExponentialGrowth,0.9999756809708251,0.9999007317938806,0.0,None,249
R1,Trend_Seasonality,0.9998907758453771,0.9952432697560777,0.9511279362417957,48,50
R2,Seasonality,0.9236511803333124,0.9976022418347005,0.9478705904798339,48,50
R3,Stationary_AR,0.44878962969476643,0.4434272386968333,0.5340011369723949,None,12
R4,Trend_MeanShift,0.9997232156908425,0.9988943723324665,0.18563926884664794,None,250
R1,Trend_Seasonality,0.9997865157415474,0.9979279067898319,0.7194017383019526,12,12
R2,Seasonality,0.8186523163358219,0.9889513294737322,0.8242743781195168,12,12
R3,Stationary_AR,0.3155009975120433,0.5385696784042635,0.6701378259256037,None,21
R4,Trend_ExponentialGrowth,0.9999557184700697,0.9998870011252199,0.0,None,249
R1,Trend_Seasonality,0.9993388531606706,0.9945677795157515,0.9514469740647121,48,50
R2,Seasonality,0.939346814665653,0.9975858337195114,0.9587527866213833,48,50
R3,Stationary_WN,0.0895230152147296,0.3666185041622818,0.4403344475213158,None,17
R4,Trend_RandomWalkDrift,0.9829275129421059,0.6632618740701786,0.0,None,250
R1,Trend_Seasonality,0.9996605912258177,0.9980708993826755,0.8735821872942585,36,36
R2,Seasonality,0.958248194012255,0.9951070155476731,0.9657021554821399,36,36
R3,Stationary_WN,0.34808573836394363,0.20967050783905095,0.30839529401586796,None,4
R4,Trend_ExponentialGrowth,0.9999805960223399,0.999889844104592,0.0,None,249
R1,Trend_Seasonality,0.9993774546163703,0.9958708512143235,0.8652431725729623,24,24
R2,Seasonality,0.9385908213104222,0.9991558691581799,0.9536358709667454,24,24
R3,Stationary_AR,0.25311873569878185,0.5323985433214331,0.6837532604186571,None,36
R4,Trend_ExponentialGrowth,0.9999553022837298,0.9998922067054593,0.0,None,249
R1,Trend_Seasonality,0.9985795949249046,0.9970965092763947,0.790854180299088,24,24
R2,Seasonality,0.9343465505014669,0.9980040394992451,0.948187476280854,24,24
R3,Stationary_WN,0.5613143962541001,0.13961426594506965,0.27000615298753616,None,2
R4,Trend_ExponentialGrowth,0.9999562860078248,0.9998879960847863,0.0,None,249
R1,Trend_Seasonality,0.9999451962661514,0.9992319871052686,0.9326729912747536,36,36
R2,Seasonality,0.8267610042155717,0.985686124307762,0.8690164442359687,36,36
R3,Stationary_WN,0.3739678957755589,0.32057525413758126,0.32049997400672947,None,4
R4,Trend_ExponentialGrowth,0.9999612261850832,0.9998920068797649,0.0,None,249
R1,Trend_Seasonality,0.9997582778895154,0.9989313472873353,0.9317872267337013,48,50
R2,Seasonality,0.10971009248579544,0.9988575261241157,0.9133621516603094,48,100
R3,Stationary_AR,0.0,0.062487283324714316,0.0,None,167
R4,Trend_ExponentialGrowth,0.9999652791220458,0.9998866309493732,0.0,None,249
R1,Trend_Seasonality,0.9998287737245375,0.997472988133396,0.9748164358453427,24,24
R2,Seasonality,0.9150763635354506,0.9980666469939522,0.9396192261557683,24,24
R3,Stationary_WN,0.11240807554783971,0.40355876060613494,0.39037295281327566,None,25
R4,Trend_ExponentialGrowth,0.9999699530706522,0.9998922264612424,0.0,None,249
R1,Trend_Seasonality,0.9996567143877237,0.9986936286443815,0.8207811862748089,36,36
R2,Seasonality,0.9052935722870444,0.9961720617268172,0.9262868702987453,36,36
R3,Stationary_AR,0.06584510158139445,0.6538993305766706,0.5949918312980979,None,100
R4,Trend_RandomWalkDrift,0.9988095488712423,0.8986452055292683,0.7870465872936709,None,167
R1,Trend_Seasonality,0.9998798733892829,0.9963120377680139,0.9361960185402975,48,50
R2,Seasonality,0.9787256420231372,0.9992420613550498,0.9840991668126331,48,50
R3,Stationary_AR,0.9926670750504775,0.9999827646240271,0.0,None,249
R4,Trend_RandomWalkDrift,0.9999901631732523,0.9999525468181188,0.0,None,249
R1,Trend_Seasonality,0.9976097640949515,0.9938432499448203,0.9079637432488735,48,50
R2,Seasonality,0.7588757997065286,0.9947024525270338,0.8660921744818242,48,50
R3,Stationary_AR,0.16056534259511623,0.5475105190852727,0.5281316491182837,None,62
R4,Trend_RandomWalkDrift,0.93787041139706,0.8310113941751046,0.0,None,250
R1,Trend_Seasonality,0.9983273305768208,0.9934090887974569,0.84081946425746,48,50
R2,Seasonality,0.9299313791431121,0.9964726124247317,0.9457283829483196,48,50
R3,Stationary_AR,0.33250359593695755,0.4356849953589734,0.4541838667746838,None,8
R4,Trend_MeanShift,0.9998181373717147,0.9992722509457052,0.0,None,250
R1,Trend_Seasonality,0.9990134273616472,0.9967685965361655,0.968810749508568,12,12
R2,Seasonality,0.8495517123877512,0.9869967142113072,0.8524096453689606,12,12
R3,Stationary_WN,0.060225606379626706,0.3606413710979054,0.30663918746700347,None,19
R4,Trend_RandomWalkDrift,0.9999888187180429,0.9999675119368635,0.0,None,249
R1,Trend_Seasonality,0.9993389041645727,0.9974089767480079,0.877071574220207,24,24
R2,Seasonality,0.7589567809883732,0.9931841191311591,0.8314649231431661,24,24
R3,Stationary_AR,0.2140734022694586,0.6698643104188025,0.0,None,250
R4,Trend_MeanShift,0.9999034008701575,0.9996147111676117,0.0,None,250
R1,Trend_Seasonality,0.9996602998855333,0.9987933197766244,0.9667509180981543,24,24
R2,Seasonality,0.976134440392449,0.9988474496972416,0.981143960344759,24,24
R3,Stationary_WN,0.5102555783963076,0.10640621325258182,0.2612942619194014,None,2
R4,Trend_RandomWalkDrift,0.9999930700714765,0.9998966142340293,0.0,None,249
R1,Trend_Seasonality,0.9988629883966528,0.9990062106266595,0.9614505593491072,36,36
R2,Seasonality,0.5564507483143022,0.9872020243029856,0.711776202744644,36,36
R3,Stationary_AR,0.14183528095958642,0.4251486955676389,0.533222863008457,None,29
R4,Trend_ExponentialGrowth,0.9999756864857918,0.999890563843116,0.0,None,249
R1,Trend_Seasonality,0.9999018600215794,0.9977441683985232,0.7750940436183933,12,12
R2,Seasonality,0.7309083495785016,0.9932838083630985,0.7669122205422098,12,12
R3,Stationary_WN,0.4552068809201649,0.19908778688099893,0.3084201214246819,None,3
R4,Trend_MeanShift,0.9999754574202653,0.9999016899835247,0.0,None,250
R1,Trend_Seasonality,0.9999043703291323,0.9989042284301217,0.9102052560929182,48,50
R2,Seasonality,0.8829264118130257,0.9961732225491328,0.9223083988585847,48,50
R3,Stationary_AR,0.2889692846167361,0.5433791687415187,0.6953426240443523,None,38
R4,Trend_MeanShift,0.9998475550415071,0.9994047784958237,0.0,None,250
R1,Trend_Seasonality,0.9963866384596267,0.9902342174703024,0.5830887428850657,36,36
R2,Seasonality,0.8427282605136984,0.995231450737553,0.8863193431470342,36,36
R3,Stationary_WN,0.4130349841924035,0.24418274477629154,0.3671491579040491,None,3
R4,Trend_MeanShift,0.999937867085536,0.9997504297641461,0.0,None,250
R1,Trend_Seasonality,0.9997731172437899,0.9970633650146422,0.9097585506034748,12,12
R2,Seasonality,0.9430320464745723,0.9973232330842916,0.940243392108269,12,12
R3,Stationary_AR,0.03756981164594564,0.513980981576637,0.591321179153782,None,50
R4,Trend_RandomWalkDrift,0.9984215038994108,0.9404913173451006,0.6220579577476313,None,250
R1,Trend_Seasonality,0.9999106330506542,0.998805165972116,0.9259739461776834,48,50
R2,Seasonality,0.5331880973459705,0.9833983436786912,0.741776761036335,48,50
R3,Stationary_AR,0.046474755776634846,0.878218967745921,0.16491838795684477,None,250
R4,Trend_RandomWalkDrift,0.9999995526519508,0.9999935072438038,0.0,None,249
R1,Trend_Seasonality,0.9992857829322784,0.9942883568273371,0.7407992503296336,24,24
R2,Seasonality,0.7894999940611811,0.9930406249527701,0.8461935557506527,24,24
R3,Stationary_AR,0.18843290208198926,0.4207118849396304,0.5409558758493058,None,24
R4,Trend_MeanShift,0.9984000634455055,0.9942394045533375,0.0,None,250
R1,Trend_Seasonality,0.9978057131775033,0.991964404673735,0.6343991817918632,24,24
R2,Seasonality,0.8127286688456403,0.9961444158965611,0.8667746380715757,24,24
R3,Stationary_WN,0.5399866932582518,0.2275522629437693,0.20806995084164448,None,2
R4,Trend_RandomWalkDrift,0.9999955559383984,0.9999381859648084,0.0,None,249
R1,Trend_Seasonality,0.9997892170638871,0.9968293548398313,0.9282060374314053,12,12
R2,Seasonality,0.9457207358172769,0.9959469995976868,0.9422601932310819,12,12
R3,Stationary_WN,0.28515071608135967,0.3212109038276253,0.32657927056932046,None,5
R4,Trend_ExponentialGrowth,0.9999680868579982,0.9998989429719072,0.0,None,249
R1,Trend_Seasonality,0.9999173886202818,0.9980223057170564,0.8281180146488714,24,24
R2,Seasonality,0.9518481073310924,0.9933924246772143,0.962712752439213,24,24
R3,Stationary_AR,0.3400343331978064,0.520036071681303,0.6675551685309375,None,33
R4,Trend_RandomWalkDrift,0.8471568208449121,0.8550733530739444,0.8333119221099607,None,100
R1,Trend_Seasonality,0.9990149568117671,0.9766387330099221,0.8446874455625614,12,12
R2,Seasonality,0.929213935299445,0.9979779342186591,0.9262846702885059,12,12
