True_Quadrant,Pattern,F_T,F_S,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
Q2,Pure_MultiSeason,0.7245501642318581,0.884871476332802,12,12,12.0,24.0,300,0.0,0.0,15.219993106351811,10.51464729840937,1.7294887204489462,,,
Q3,Stationary_AR,0.04598644122839801,0.12251068684932964,None,50,,,300,0.0,0.0,0.0,0.0,5.0,0.5981006952872099,,
Q4,PureTrend_Exponential,0.9988028324356163,0.2335554194603553,None,24,,,300,,,0.0,0.0,0.7622435448311793,,,
Q1,Trend+MultiSeason,0.999998243642141,0.4695368461425392,24,24,24.0,48.0,300,-0.2978369435902852,-3.323036473371857,16.596341775661077,6.90504611243349,1.0466683024985755,,,
Q2,Pure_MultiSeason,0.018270395757179814,0.9634685010094628,24,50,24.0,48.0,300,0.0,0.0,10.34450654735852,8.34554726248269,1.4377778281418023,,,
Q3,Stationary_WN,0.07718892913129127,0.2450750316539404,None,9,,,300,0.0,0.0,0.0,0.0,10.594653714523812,,,
Q4,PureTrend_Exponential,0.9960260224852685,0.2899126934158417,None,24,,,300,,,0.0,0.0,0.507215313875639,,,
Q1,Trend+MultiSeason,0.9999982290874031,0.4850167096130802,48,24,48.0,96.0,300,-0.23400049224321443,-2.027148949577332,14.239988066021834,5.624920823992171,1.2298428603179912,,,
Q2,Pure_MultiSeason,0.617565848328768,0.8602561540611692,48,50,48.0,96.0,300,0.0,0.0,17.85900872356811,11.773863680190816,1.9848020817626328,,,
Q3,Stationary_WN,0.08144994329362631,0.2124685848485841,None,5,,,300,0.0,0.0,0.0,0.0,10.747678944220535,,,
Q4,PureTrend_Exponential,0.9985252258519881,0.0,None,24,,,300,,,0.0,0.0,0.5065345401429091,,,
Q1,Trend+MultiSeason,0.9999982429629242,0.4880254646473744,12,24,12.0,24.0,300,0.22178119871280869,2.480925316729589,18.9202848617774,2.8571258936092585,1.3383040156287236,,,
Q2,Pure_MultiSeason,0.7314046597232888,0.9506396107395587,12,12,12.0,24.0,300,0.0,0.0,24.155366052492457,10.425730891284267,1.8831834152400684,,,
Q3,Stationary_AR,0.0425843735957423,0.2494206366396714,None,43,,,300,0.0,0.0,0.0,0.0,5.0,0.5073389568682569,,
Q4,PureTrend_Exponential,0.9887674467208177,0.31012985100759627,None,24,,,300,,,0.0,0.0,0.884326529593013,,,
Q1,Trend+MultiSeason,0.9999982395885795,0.4849232161631353,12,24,12.0,24.0,300,0.29652232990035665,-3.375519574714525,18.015576019598385,4.19382698544654,0.7431421497163426,,,
Q2,Pure_MultiSeason,0.7354116293296541,0.9828363771748756,12,12,12.0,24.0,300,0.0,0.0,28.93232879179748,7.413066227626494,1.0251419245163664,,,
Q3,Stationary_WN,0.16384002041128853,0.09683857258806339,None,2,,,300,0.0,0.0,0.0,0.0,11.544352210038682,,,
Q4,PureTrend_Exponential,0.9967888674624946,0.2900690445303997,None,24,,,300,,,0.0,0.0,1.33624686299998,,,
Q1,Trend+MultiSeason,0.9999982263991922,0.4770250334735099,48,24,48.0,96.0,300,0.38740165572633267,3.790763246468958,19.79424211833578,3.1479940041994974,0.8668819129241139,,,
Q2,Pure_MultiSeason,0.6652633513606261,0.8407543555230488,48,50,48.0,96.0,300,0.0,0.0,12.06860532292506,8.990069944296973,1.129147226962409,,,
Q3,Stationary_AR,0.12051641865163687,0.38958795247753664,None,43,,,300,0.0,0.0,0.0,0.0,5.0,0.6641239060570724,,
Q4,PureTrend_RandomWalk,0.988066934900693,0.1415683133182566,None,24,,,300,,,0.0,0.0,1.074647294005176,,,-0.2991495382592025
Q1,Trend+MultiSeason,0.999998239271052,0.48327887398450853,48,24,48.0,96.0,300,0.2512721290369778,-4.35683827991871,13.943310746500075,2.5247407405079647,0.654532867495906,,,
Q2,Pure_MultiSeason,0.2222218834347025,0.9280478909257274,48,50,48.0,96.0,300,0.0,0.0,25.814155832160502,6.89521932708167,1.9119369744503234,,,
Q3,Stationary_AR,0.2462526572470467,0.33934833636668926,None,14,,,300,0.0,0.0,0.0,0.0,5.0,0.5252366337528719,,
Q4,PureTrend_RandomWalk,0.9951327741225197,0.9505768080611762,None,150,,,300,,,0.0,0.0,1.0842392897883149,,,0.4062517293501131
Q1,Trend+MultiSeason,0.9999982429648893,0.4716806461116324,24,24,24.0,48.0,300,-0.3233443820689122,-2.700742879206647,9.604788483785413,2.512725193573846,1.2301841326554537,,,
Q2,Pure_MultiSeason,0.6700007139229394,0.9361523885111639,24,25,24.0,48.0,300,0.0,0.0,24.60553005835905,10.86442496279647,1.3182237652114055,,,
Q3,Stationary_AR,0.07180596341315892,0.284204982780211,None,43,,,300,0.0,0.0,0.0,0.0,5.0,0.5851013666983771,,
Q4,PureTrend_RandomWalk,0.9735559521739005,0.31944935065407287,None,24,,,300,,,0.0,0.0,0.9922086006481761,,,-0.11317841548502727
Q1,Trend+MultiSeason,0.9999981624753637,0.4632642992755389,48,24,48.0,96.0,300,-0.22102252437699305,1.4660032443464988,21.94911484361645,4.708371335962145,1.491537186462786,,,
Q2,Pure_MultiSeason,0.5517496943107036,0.9185042281519693,48,50,48.0,96.0,300,0.0,0.0,11.303974814145763,4.793380428428636,1.1867901260554468,,,
Q3,Stationary_WN,0.13800939033166282,0.29179947604448353,None,6,,,300,0.0,0.0,0.0,0.0,7.84980779780263,,,
Q4,PureTrend_Exponential,0.9986659821905869,0.12480495370249622,None,24,,,300,,,0.0,0.0,0.8192228437427687,,,
Q1,Trend+MultiSeason,0.999998217068343,0.47531488843606606,48,24,48.0,96.0,300,-0.16698472059416125,2.506743012952115,17.807483595662955,3.7078838867688364,0.9324002202896929,,,
Q2,Pure_MultiSeason,0.014549955196794029,0.9776706869848585,48,100,48.0,96.0,300,0.0,0.0,12.367031518871332,10.51203677853854,0.8018185884622312,,,
Q3,Stationary_AR,0.21861090174022746,0.2632397209361561,None,21,,,300,0.0,0.0,0.0,0.0,5.0,0.5807277732655945,,
Q4,PureTrend_Break,0.9998268415912742,0.9993083662050039,None,150,,,300,,,0.0,0.0,1.2680816128922934,,150.0,
Q1,Trend+MultiSeason,0.999998240471172,0.48484141454714924,12,24,12.0,24.0,300,0.2395206520214645,-3.786245675917548,19.81441257952668,5.727177714721369,1.1436270119306773,,,
Q2,Pure_MultiSeason,0.7402655439972006,0.9873116348003275,12,12,12.0,24.0,300,0.0,0.0,27.2133540074128,5.985319067924654,0.6849510906768725,,,
Q3,Stationary_WN,0.2077304103978973,0.12599947585404803,None,3,,,300,0.0,0.0,0.0,0.0,14.120639587396125,,,
Q4,PureTrend_Exponential,0.9971106033843251,0.21609447464132625,None,24,,,300,,,0.0,0.0,1.3470898195975805,,,
Q1,Trend+MultiSeason,0.9999982751029514,0.49011300666823066,36,24,36.0,72.0,300,-0.29576106720516965,-3.0749952327609775,23.768786724709607,6.667576042379107,0.7192587485137295,,,
Q2,Pure_MultiSeason,0.29426105344823694,0.9547430996059123,36,38,36.0,72.0,300,0.0,0.0,21.792171836126364,4.12873634047812,1.7480889218365465,,,
Q3,Stationary_WN,0.04619806223349665,0.12322090628777138,None,2,,,300,0.0,0.0,0.0,0.0,9.529702511417206,,,
Q4,PureTrend_Break,0.9998805102169372,0.9995231359808963,None,150,,,300,,,0.0,0.0,1.3496395015581601,,150.0,
Q1,Trend+MultiSeason,0.9999982086071186,0.5898656716249735,24,24,24.0,48.0,300,-0.21451235925105638,0.964758278131008,24.38340623615685,7.307852744268853,0.6070446576849198,,,
Q2,Pure_MultiSeason,0.6778851927984182,0.9466044937230816,24,25,24.0,48.0,300,0.0,0.0,21.031909447324335,8.681334579624151,0.6042596411997412,,,
Q3,Stationary_AR,0.10846619337942831,0.42234490528100155,None,60,,,300,0.0,0.0,0.0,0.0,5.0,0.6246904831693423,,
Q4,PureTrend_RandomWalk,0.9890755456345524,0.02524590175485586,None,24,,,300,,,0.0,0.0,1.1911525938152692,,,0.35926356234557744
Q1,Trend+MultiSeason,0.9999981248839556,0.46209860169498895,36,24,36.0,72.0,300,0.11211182726709577,2.772212222262192,22.299169337790836,7.443192263978274,0.7864931611976166,,,
Q2,Pure_MultiSeason,0.3224546764939258,0.9701253995211971,36,38,36.0,72.0,300,0.0,0.0,26.61710383724966,4.19205249766268,0.8345751836443807,,,
Q3,Stationary_WN,0.04416222179967688,0.12623382452704868,None,27,,,300,0.0,0.0,0.0,0.0,14.744820065722266,,,
Q4,PureTrend_Exponential,0.9889882281193735,0.24631698386439516,None,24,,,300,,,0.0,0.0,0.9382191202896402,,,
Q1,Trend+MultiSeason,0.9999982398562763,0.4697170414584009,24,24,24.0,48.0,300,0.30832233558078015,-2.2968413660487177,10.98744055655011,2.0627619874292167,0.9297070725502616,,,
Q2,Pure_MultiSeason,0.6703940688162374,0.9517587844935355,24,25,24.0,48.0,300,0.0,0.0,27.777241209231484,10.631909204278688,1.210084958751605,,,
Q3,Stationary_WN,0.20108708164152955,0.1829844780970198,None,3,,,300,0.0,0.0,0.0,0.0,13.808047250283428,,,
Q4,PureTrend_Break,0.9997703951583785,0.9990757389798689,None,150,,,300,,,0.0,0.0,1.070950238970485,,150.0,
Q1,Trend+MultiSeason,0.999998238700947,0.48395460445982774,48,24,48.0,96.0,300,0.1378047202148666,-3.9972467930874935,15.525619272690353,2.575455703057564,0.949921743369953,,,
Q2,Pure_MultiSeason,0.6473396663300716,0.9615202132102791,48,50,48.0,96.0,300,0.0,0.0,27.792288558068122,9.105928724673841,1.1071099346457398,,,
Q3,Stationary_WN,0.15986634727934168,0.21545880323022915,None,4,,,300,0.0,0.0,0.0,0.0,11.777574805740977,,,
Q4,PureTrend_Break,0.9997434360380107,0.998974114567165,None,150,,,300,,,0.0,0.0,1.3824194995725612,,150.0,
Q1,Trend+MultiSeason,0.9999982407956163,0.4993373932991254,12,24,12.0,24.0,300,-0.2534230509395984,1.5216742641958718,17.462942754142784,7.556787029111338,0.7142767855641173,,,
Q2,Pure_MultiSeason,0.6678256736079711,0.8979779494761493,12,12,12.0,24.0,300,0.0,0.0,11.365954739577962,6.360925261942125,1.806318706393188,,,
Q3,Stationary_AR,0.1738822207873293,0.23820468365578695,None,25,,,300,0.0,0.0,0.0,0.0,5.0,0.6403342406547993,,
Q4,PureTrend_RandomWalk,0.9944768064593463,0.20130835387617496,None,24,,,300,,,0.0,0.0,1.2596713881272834,,,0.22832075955668493
Q1,Trend+MultiSeason,0.9999982388198967,0.48305158729397013,48,24,48.0,96.0,300,-0.19631033229673345,-4.347276896303323,9.723088025294798,5.13000345536933,1.3650811697554708,,,
Q2,Pure_MultiSeason,0.24487592419616389,0.8575248531470494,48,50,48.0,96.0,300,0.0,0.0,12.997551489137322,5.369974427960644,1.4489586762566038,,,
Q3,Stationary_WN,0.21552244523215958,0.25616620197235884,None,5,,,300,0.0,0.0,0.0,0.0,6.490655934903826,,,
Q4,PureTrend_Break,0.9999830137482872,0.9999320068930735,None,150,,,300,,,0.0,0.0,0.9688117370645525,,150.0,
Q1,Trend+MultiSeason,0.9999982394473488,0.4881082194491302,12,24,12.0,24.0,300,0.3397602095547354,-1.3262483651618489,9.548104748202174,4.725188313390857,1.3541594445708955,,,
Q2,Pure_MultiSeason,0.6883007341365017,0.9735331988963406,12,12,12.0,24.0,300,0.0,0.0,26.312535014431297,7.51542383625579,1.9395569957644903,,,
Q3,Stationary_WN,0.01698631475318302,0.31573981924144223,None,43,,,300,0.0,0.0,0.0,0.0,13.894736736977958,,,
Q4,PureTrend_Break,0.9998063656700743,0.9992329776105556,None,150,,,300,,,0.0,0.0,1.103162391323203,,150.0,
Q1,Trend+MultiSeason,0.9999982284647689,0.5003984841926175,24,24,24.0,48.0,300,-0.26336451536613803,2.105917462801978,12.95553829380533,7.862955220368297,0.7879046531833341,,,
Q2,Pure_MultiSeason,0.04955913303894921,0.9818221964689382,24,50,24.0,48.0,300,0.0,0.0,17.969433110402626,11.458070991209201,0.9269337089122458,,,
Q3,Stationary_AR,0.090566797583706,0.34980195896487987,None,19,,,300,0.0,0.0,0.0,0.0,5.0,0.4679716585890656,,
Q4,PureTrend_Exponential,0.9909415861746225,0.2422594910747845,None,24,,,300,,,0.0,0.0,0.6268376566302275,,,
Q1,Trend+MultiSeason,0.9999982427734588,0.4836262166408717,12,24,12.0,24.0,300,0.27742003331219617,4.3436868316181565,17.71582461014714,4.54926928359545,1.1072753871796142,,,
Q2,Pure_MultiSeason,0.7178961023712586,0.9820140017539732,12,12,12.0,24.0,300,0.0,0.0,19.729452800715826,5.021203199743399,0.917396719244935,,,
Q3,Stationary_WN,0.12621346944016087,0.345508512159592,None,13,,,300,0.0,0.0,0.0,0.0,6.273921459743788,,,
Q4,PureTrend_Break,0.9996383854264846,0.9985465200566633,None,150,,,300,,,0.0,0.0,1.4210231713984698,,150.0,
Q1,Trend+MultiSeason,0.9999982018796306,0.47511444566339744,36,24,36.0,72.0,300,-0.10573304884098178,3.1703072845476505,9.366426947479681,3.969058958904158,1.200766893907133,,,
Q2,Pure_MultiSeason,0.5798059206931027,0.9464787979650955,36,38,36.0,72.0,300,0.0,0.0,23.870153009010973,8.309547475082734,1.092002570635183,,,
Q3,Stationary_WN,0.17886607678305477,0.23231311719711467,None,7,,,300,0.0,0.0,0.0,0.0,11.16044178403239,,,
Q4,PureTrend_Break,0.9999889139725241,0.9999554935830589,None,150,,,300,,,0.0,0.0,0.8325671683212813,,150.0,
Q1,Trend+MultiSeason,0.9999982380725126,0.49882189631059126,24,24,24.0,48.0,300,0.17929382015957868,3.3721568680063996,17.19782771065773,4.590470466143899,0.6954045352755338,,,
Q2,Pure_MultiSeason,0.5714072302045228,0.9737967954660146,24,25,24.0,48.0,300,0.0,0.0,28.03015230690899,6.530499374254188,1.6113425234219028,,,
Q3,Stationary_WN,0.08650277227041792,0.2509377877466601,None,9,,,300,0.0,0.0,0.0,0.0,5.099509069770076,,,
